ssn,name,phone,cfphone,str,city,cc
KVFPQ40,Viccari,5885,0.97,SyTlenv20,Lawton,35625
NUGQD12,Clemm,31726,0.74,CkRiott16,Casper,29150
LWSJY11,Kemp,33522,0.53,ZjLmeiq05,Berlin,797
ZXPBN97,Tillich,21347,0.73,UiPrfgl33,Jackson,21984
AYNVW65,Leifker,31818,0.68,HeXfcdq59,Omaha,20491
XBYMR74,Alves,11920,0.98,UgMfarf93,Lynchburg,633
YNNIL08,Lukanowicz,2052,0.59,BnYjvej97,Stuttgart,24377
RXQEA20,Guyton,1485,0.86,GyRqpmv21,Sacramento,15222
GKMTZ28,Rommel,4273,0.89,KcKsasb34,Madrid,36434
LMYSR26,Niinomi,16419,0.98,FdIusqe65,Cape,17203
UFNVS66,Missinai,32134,0.50,RfKlhtq13,Gothenburg,23828
MESKW28,Tierney,20292,0.34,LmRufla33,Mobile,11545
WLFVA02,Magalhaes,6270,0.71,NsGrjeb44,Akron,18174
NPGSB43,Musselman,28692,0.41,RkUzecq50,Shreveport,35859
GTGRY45,Goradia,38405,0.15,RzNwjee74,Budapest,10912
LZZGQ33,Sabnani,30139,0.82,QdKzruc43,London,4921
STBIX94,Macmillan,38924,0.70,BqOuhba15,Cody,5209
KJIFW48,Tourancheau,2114,0.91,DyBlugs98,Harrisburg,38140
YNGUR18,Nogi,38268,0.94,IbMoyoz06,Tulsa,36729
LWAZN94,Rifaut,25182,0.71,OwThxsv98,Abidjan,39312
SGOMX05,Winzer,14266,0.56,PuDodxy24,Montreal,13145
NTUOJ54,Davoren,25852,0.99,GsUanae35,Pensacola,16823
BREVV12,Dewey,38742,0.87,WuVqsna90,East,1403
IHSDJ86,Piela,36564,0.30,FiSizxh07,Madison,3070
FGJMO68,Beke,30808,0.19,IwSoveg96,Rapid,30738
FOBMV84,Welker,27710,0.67,XbJqqiw60,Durban,26990
RJAGE79,Bentzien,12857,0.41,DhEmmap71,West,39523
LOOXA98,Dehdashti,2810,0.55,PlDtysq02,Kalamazoo,25389
LFKPW01,Fiutem,15796,0.95,HnBataz74,Minneapolis,9879
IQDWF10,Strasen,19389,0.83,OrQntjb18,Dakar,27199
PLAMW46,Maguire,30185,0.20,EgLmofv39,Mobile,37207
HCXEO23,Grisedale,12871,0.24,CfTsoub38,Meridian,17505
ZPRRG81,Boersma,23510,0.46,RyCbfsz77,Grand,38921
EMRSW40,Holbrook,15079,0.36,YhWsyrg68,Moscow,8841
QVVRQ24,Sutre,9267,0.70,UaDfbej26,Harrisburg,28486
IABBP80,Lambe,17686,0.69,XtKnrjf97,Huntsville,30768
RWAAE30,Hogstedt,2305,0.15,MmSlvlp93,Geneva,7807
KTAFK69,Brockmeyer,7507,0.75,UnAeibp27,Pocatello,22107
YFJDS25,Belyaev,9965,0.15,BzQhqvv54,Reno,32762
SHVVF51,Panagopoulos,34182,0.41,MqOhpjc57,Chicago,25473
ONCUY18,Rachid,21929,0.31,VoErajw16,Dakar,29833
YLNEJ78,Valtchev,27228,0.79,AeGnrql29,Indianapolis,25182
TBLCB36,Ackermann,13200,0.15,LjAsqhv96,Roanoke,35915
XHMTO35,Ersan,24599,0.68,VkPkfoz58,El,23359
EXVEP88,Emmert,5273,0.48,NcDufjb84,Meridian,18684
BNHMW56,Hanover,1455,0.35,SyHvjsl02,Idaho,8534
MLFPR08,Prampolini,8458,0.11,PfBsptv60,Lisbon,4396
IWDQN47,Clo,17897,0.32,PzOzyva82,Vienna,33520
XLFSK54,Khedro,1879,0.39,DjAjxes34,Zihuatenejo,15104
RWQZQ61,Uyttendaele,32519,0.58,JuBsqwt02,Cleveland,27822
NSQRT00,Spinelli,30014,0.78,BfQunrx85,Butte,5012
WLNSV97,Guttag,35694,0.41,TuEmnzj72,Meridian,33236
OCWVK03,Kajihara,19020,0.65,KrOswhg14,Bologna,1419
AXXKT34,Covnot,846,0.12,AfZvlub77,Florence,2120
JUZMQ20,Yagi,38758,0.67,KiTnnfn73,Rio,36765
UADTO25,Margenstern,26400,0.56,PpWjudq31,Orlando,15906
KWUMU92,Cosmo,33872,0.12,DwKtkjz14,Tampa,1664
ZNNOU78,Gurzhiv,36879,0.16,JmUwmbp29,Columbia,23692
PTDFL09,Dasu,24397,0.60,XbLpsng52,Evansville,8305
JTBHC18,Gargeya,30286,0.52,UeErfcs73,Veracruz,15522
LCFPX00,Esbelin,33222,0.46,FgXuhwz47,Lexington,36149
BMQIP83,Kemp,18140,0.75,YbCkpyy03,Lyon,8449
UPXGW86,Dicks,31974,0.57,XrJjxim33,Rome,28395
ZMKTK75,Sekita,31772,0.78,XnZdbwf48,Mazatlan,24138
NGBVI30,Erbach,38089,0.99,IbIyylc39,Miami,18206
HILFJ15,Marechal,21115,0.55,JrTdiey86,Cody,9989
NDHHF25,Walinsky,39791,0.78,CvWcswq28,Budapest,29671
UPXKN70,Hirshfeld,5343,0.46,GwAaowv35,Warsaw,7701
RNWDD86,Tarditi,22533,0.29,KlTbjga89,Ciudad,2618
WGXYO58,Remy,30196,0.21,TgXqzim82,Honolulu,25184
HYGJM94,Pons,9392,0.37,EmHgqxy95,Roanoke,13430
EJIUJ61,Higashino,34069,0.54,SmUglra11,Sun,39757
ERYAM16,Pinho,20287,0.36,QuNmuyf23,Lawton,6613
SDKQY47,Karlsson,32752,0.28,ErUfctp03,Mulhouse,28336
ATRVL17,Haneke,4477,0.34,EnPjeyq15,Munich,7258
UYPFN23,Reifer,926,0.78,BfKyftt77,Indianapolis,4322
UZUXQ71,Tiemann,32155,0.35,PlHywwi90,Long,38013
QYJEG33,Flokstra,21786,0.46,TpJbbti36,Cozumel,11188
JIEUM83,Dye,22487,0.50,XuDymyx70,London,25545
JQZMN39,Rege,22042,0.78,QrYmzjr38,Ciudad,1449
JSTXU04,Kartha,1580,0.31,TsExutm37,Berlin,9774
QLXCW15,Krogh,14767,0.15,PpZyfev99,Greensboro,29387
EFWKO22,Souquieres,4165,0.65,BuPeswb64,Port,17523
DUTZW77,Schroer,17623,0.54,InCtdgt94,Anchorage,11222
XSRPQ51,Waumans,25443,0.81,IxGmbml79,Atlanta,6172
IGBVD65,Winzen,31205,0.18,EgClrgi29,Vienna,32658
NXZRP43,Jarwala,11794,0.75,PtWpqhc51,Sun,36345
ZECKE76,Yano,5697,0.90,CoIvqib25,Bangor,24888
HJKSV66,Rando,7426,0.83,BrBojsa08,Shannon,34709
HHLXU76,Shimojo,34935,0.30,QbTodyq54,Omaha,28313
SAFBD29,Kehrer,10846,0.54,NaWaoxt33,Buffalo,17658
VAKEP16,Christopher,7973,0.63,NzAybln67,Windhoek,8214
UPAQI72,Bressoud,3010,0.85,WhMjkjc98,Palm,21376
QUFHB37,Iliopoulos,39355,0.94,CcBqtco98,Kiev,23589
CLMCD27,Corso,25708,0.34,EdYzmen04,Des,11536
CKMXH26,Ramseyer,32712,0.47,VgRztxu96,Guadalajara,21164
IRNZZ44,Burkhart,918,0.36,JkBefhv06,Orlando,3992
EHLRY96,Moffat,19311,0.21,DcSqeif92,East,143
QCKIE66,Complak,23579,0.24,ErRcbpx26,Fresno,23124
LBHBP35,Musto,10970,0.77,RmEsvcx48,Istanbul,5241
KQPQY77,Hegron,8154,0.41,MdVppyy06,Windhoek,29651
RQUKK26,Kruskal,16808,0.72,KfIzorb52,Twin,33806
DZHVA16,Schapiro,32260,0.69,AtYshgl31,Madrid,7900
QXOJX23,Benzmuller,6210,0.82,QkZzxqz49,Brunswick,35716
UAJMY04,Litvinov,845,0.35,LxZqnnz71,Jacksonville,6839
GVNCB62,Chevalier,13330,0.26,XlDmhef43,Phoenix,31787
TEYIB87,Theys,27506,0.13,EoMjrki31,Montgomery,23490
VAJRE50,Coupe,36292,0.45,FvDwhbi02,Kalispell,26912
LNUSE86,Ferretti,7729,0.44,OjWiqpo68,Harrisburg,10352
RAZWC76,Holcombe,18058,0.34,NuWbtal86,Copenhagen,28748
ALSZX19,Ratnakar,20556,0.16,GpEnenr91,Rochester,21212
RUYGE68,Pols,39048,0.29,JnEigtk02,Lubbock,13451
GFTYF55,Gurr,38263,0.51,ZqJbzvh00,Rome,25488
CPXMH24,Sutherland,4226,0.74,KcHsczp34,Tallahassee,1955
WTJOQ15,Cestnik,19507,0.58,ZqIaxug76,Abidjan,14459
SAOLF80,Azizoglu,5141,0.31,BoInlam67,Jacksonville,21308
CCOHQ39,Mahalanabis,3651,0.55,JoJyuwp53,Providence,3412
DHVJS27,Tomba,39621,0.70,SbOxzzn43,Corpus,8104
DJYMO62,Bidulock,34500,0.92,KwKheih06,Sarasota,36989
RFNWL96,Naumovich,33473,0.60,VkClqsm87,Durango,4272
KAQVP01,Iciki,2780,0.20,ByNxkov98,Allentown,25391
HTGEN06,Roohalamini,39718,0.46,HuYdtfc61,Memphis,4390
ZQYWI32,Kameya,1947,0.70,KgVqkev95,Ouagadougou,28598
YUJMW66,Aczel,35524,0.66,UiQsvil00,Kalispell,32998
KYVEN18,Creveuil,611,0.33,QjHlsaw74,Cincinnati,2340
JZXTL16,Trystram,6881,0.49,BaEdutu08,Twin,5784
EXPGY34,Bauget,8350,0.64,NyUdmuh89,Kahului,18579
TODIE36,Sauder,7768,0.93,ZePwnph24,Munich,31503
WVDMQ08,Metge,23570,0.70,CeIwabc78,East,12880
AIINT10,Kleinjohann,36312,0.69,AcWqbql82,Jacksonville,8517
UBYJY31,Caine,26870,0.96,HpUhzaz52,Lubbock,13127
QXMPZ09,Hepplewhite,24185,0.90,FtHubdh33,Butte,27145
QASPZ42,Serna,5714,0.76,OuGzcqc16,Fairbanks,36860
BBUSO95,Dufourd,37003,0.36,GzBnhrk57,Lyon,36539
SMUMS29,Schiettecatte,22574,0.69,QaGpqbx39,Buffalo,16747
NZPCW39,Kowarski,5144,0.30,RjXthws14,Newburgh,22542
TUTBC21,Castangia,35827,0.37,XmKgxbf97,Chicago,20599
GRBGV97,Itajima,14391,0.75,WjBodlp96,Billings,19935
DCXHG56,Sweazey,364,0.14,TtBzdcb92,Lansing,33872
JDWJM21,Kovalyov,9624,0.74,SbHtxod72,Pensacola,24593
NKQKR62,Tausch,15082,0.56,OgUbipa99,Brussels,10143
GTWHX38,Gubsky,8013,0.86,VdIselr00,Cincinnati,3976
OXYPS45,Bak,21003,0.92,NxCsnda94,Brussels,32186
EAKCZ44,Valkema,24701,0.78,UfCxlgl80,Budapest,5727
SMQXK47,Khalil,31617,0.16,UcQekog26,South,14902
CAJNA40,Stolcke,8911,0.87,QhSysbt03,Cape,37246
HZTWW10,Dumer,1105,0.33,LqPhamf80,Minneapolis,15092
AEHBZ22,Collings,29450,0.64,XgWemps47,Veracruz,8320
JAQIB43,Thistlewaite,9752,0.85,WiFjquk19,Worcester,3218
SVNWY24,Hintermaier,24816,0.31,OrJnhwm22,Panama,15965
LUXKW49,Fordan,27347,0.19,WnUqojl96,Boise,14623
HAKVX41,Hatsagi,35347,0.43,MwTirui54,Buffalo,23219
PGXTD48,Weisert,6632,0.79,CfMzjpp08,Missoula,21327
COJKL41,MacGinnes,25442,0.86,ZeGmjey57,Knoxville,30441
RQBGM98,Unalyr,17699,0.37,IuIsvej39,Atlanta,12862
QCEPC32,Suwanda,8134,0.53,FqMxqum40,Lima,10511
XIDJE51,Ranft,6195,0.31,AcUccbh74,Milan,20099
FFELR40,McKinley,25883,0.23,VeXcknl85,Spokane,2411
BCUJF14,Businaro,940,0.82,JgVvgww39,Boise,14304
IZGVO62,Anker,34093,0.65,DuRlwxw49,Milwaukee,30751
FUUZV65,Brackx,25327,0.14,QpZtjph40,Dayton,24694
YTGOQ55,Monarch,5213,0.26,SoLrjmm55,Lima,35996
KHPGK06,Valenzano,37502,0.88,GcEgxrr88,Chattanooga,31524
TLWZQ92,Morrow,26998,0.13,YyMzied01,Conakry,3949
SRRVX05,Felgentreu,20919,0.89,MlEwela28,Monterrey,15144
LKJPQ47,Luders,24325,0.40,KsBqryv83,Geneva,21658
PNNZE56,Worthington,37874,0.32,ZrVdllz75,Conakry,28383
VQYOY76,Geser,30280,0.64,ZyOuepa84,Huntington,28960
VSLAV52,Gellersen,5567,0.75,InNxfno55,Baton,22222
BVTUH90,Houssain,10633,0.97,LtYxwrq79,Fairbanks,19301
ZJEQP96,Takayama,35979,0.31,IdPkput21,Baltimore,1173
MFWFM94,Gasieniec,3181,0.42,UdIeqop50,Vancouver,3120
UYCUR08,Rama,1701,0.32,YaIqfgx92,Vancouver,1317
NYUBS20,Puoti,32733,0.37,UuUvqwa08,St,33791
QUEVC95,Gadbois,29133,0.42,UdAbnba84,Texarkana,11245
LHAEA27,Nemeti,20044,0.37,YyUzjgg86,Vancouver,5839
KBOUA52,Creech,32472,0.53,GeUfoju46,Munich,4333
TYMQI53,Strong,22273,0.87,IfWymhg81,Orlando,1156
PQQLV32,Partee,25375,0.23,LpKkzie09,Madison,37514
UKKID62,Kakkar,20142,0.88,FiVclwg91,Providence,37104
ZWGDK91,Belyaev,1340,0.42,FoOunpf80,Toledo,4005
DACEE08,Arazi,782,0.59,IkIkrzn91,Gunnison,9438
UHOYG59,Talburt,15461,0.77,NtMtjdg55,Chattanooga,25062
SRCLQ44,Hilgefort,28081,0.24,YkKfopd87,Munich,16185
RHOVH95,Rich,18241,0.78,VuKytvu35,Los,24852
PZXUZ87,Drach,13111,0.76,ZlLgudd81,Allentown,26086
CWJKN17,Haldar,1503,0.75,YcHalnf87,Omaha,14545
ABOWK11,Abelha,21420,0.97,LtCewbu46,Pensacola,29464
IOBMA46,Weismantel,18251,0.17,YcNudtf51,Reno,3436
FJZIF34,Krone,8894,0.18,BwOykaw53,Daytona,18184
EGXCN53,Deerwester,28067,0.24,RbJxvbw56,Frankfurt,27085
WQZZZ76,Ronchette,6845,0.41,XsCxjyd15,Kansas,3781
IHNCH02,Schuster,33302,0.90,JeVfdxp64,Lubbock,37569
RFGYE04,Ramsey,12163,0.80,CiLkvlt65,Raleigh,24166
KQUIF35,Ferneley,240,0.35,HaTsikv33,Chihuahua,7815
SSAZS90,Forgy,13672,0.57,LiReztz85,Brunswick,28966
PTDHN77,Statz,6861,0.26,BjHbvqq47,Madrid,8562
RJOBA46,Gidron,25134,0.78,GqVnkph03,Rochester,30698
DZGWO86,Welinder,13150,0.82,EcQgnza89,Appleton,11298
VNBRH03,Bik,9549,0.31,GmByofo21,Kalispell,33209
FFSSJ20,Charissis,18023,0.47,OzHmahn66,Dusseldorf,13053
XKZXH43,Ashton,15350,0.39,JuLgtfe97,Glasgow,20591
WHJKR75,Speel,6049,0.71,MzSqgra91,Roanoke,6575
SMSOZ05,Achilles,8114,0.71,RtOsgkp14,Chattanooga,19551
AYUSQ44,Yokomizo,6478,0.13,KzXqfeb17,Bozeman,7155
MUZWD89,Cowan,36227,0.73,SlMklhj27,Los,37481
ULSUK14,Vouros,15829,0.19,BaHflbi53,Montreal,10575
EZVRP03,Masullo,32768,0.12,GgNvkpt93,Pittsburgh,27168
IVUMS11,Portinale,18460,0.48,SkRhbnt15,Bamako,21436
OSCLY86,Itzfeldt,16255,0.12,XvAsxfm32,El,6902
GCVWB60,Reis,34110,0.57,JyObfrp98,Bozeman,10636
MJARP07,Kadyamatimba,11358,0.68,TzBuaxi92,Ontario,28654
BTRNN69,Pargas,6325,0.47,YqCpkxt22,Huntsville,29895
BSRUN90,Henhapl,35059,0.84,SjGrcmw20,Cleveland,7655
NVGGP40,Tomia,39205,0.26,LdMsjyp89,Mulhouse,10520
WECVZ36,Dye,39799,0.73,JeKmldt29,Huntsville,26714
WHHJW68,Lunbeck,32621,0.40,YcImvxo31,Dayton,33005
DJGCW28,Baik,27868,0.20,VrAaofp63,Seattle,17416
XGICO04,Leitsch,39447,0.64,XsLpqmp57,Indianapolis,12127
MEJDY61,Liggesmeyer,8574,0.71,NlMzykd49,Fresno,18146
KLKPS62,Wadel,26452,0.42,WmDdnjm38,Newcastle,3102
WVYUQ62,Quiniou,7590,0.85,EtLzrjd63,Augusta,902
SDOGT89,Cordy,24176,0.95,GuUbvyj48,Missoula,37148
VOFTB71,Jueneman,2806,0.17,VbZstee79,Kiev,37240
IGFDY61,Korncoff,344,0.51,OgIqqrb25,Cleveland,36535
TMUBE62,Massalin,5114,0.76,KbDpebf08,Orlando,8110
KFZUS67,Gutleber,12074,0.45,VhAixkd93,Guangzhou,11776
FHLCR64,Vivekananda,6003,0.52,AoZkwmk86,Appleton,28784
XZSOS50,Zyryanov,29142,0.61,IhAyxuo46,Caracas,21397
SIBQJ28,Hebalkar,22227,0.81,BuQdoxo62,Cincinnati,38138
POOIU35,Ebanks,19635,0.48,GhNmkzy25,Bucharest,14576
DRNAU03,Streitz,15066,0.52,FkHgnrq11,Istanbul,35416
KWDOJ62,Kechadi,10949,0.21,SzIbjpe52,Dubai,21800
KBTQZ06,Huuskonen,38638,0.98,VjFjqcp70,Texarkana,13755
THXLF48,Bach,25805,0.28,JzEcgyf19,Tokyo,25867
YZCBI00,Cotta,2909,0.58,BbWvzew96,Louisville,7885
SHOTJ21,Castanedo,9287,0.16,GpDtbsv71,Huntington,8276
ZGHOC60,Rogozhnikova,30657,0.76,KrXcecp19,Durban,8060
BKFTS59,Holbrook,25270,0.57,LnQrpez20,Kiev,29029
RODZZ12,Backstrom,3379,0.17,DuHkydq13,Tokyo,11611
XFIHR51,Zellmann,15162,0.86,IxBrvwf94,Mexico,37784
PEFLM96,Meusel,12346,0.15,CyYpiav16,Appleton,9917
REKLY42,Boege,12218,0.25,HiSqldk51,Salvador,10524
AOIMX40,Dress,36514,0.27,JfSprpj97,Philadelphia,21418
RYUNS37,Devai,12577,0.88,HcTxvvr52,Miami,29214
OKAFI55,Bloo,26928,0.59,WrIoygw96,Cody,33781
FMISN64,Afsarmanesh,22708,0.52,OeRgqrz60,Copenhagen,37635
QMMAE63,Pottosin,16489,0.24,RuMnjeh20,Bucharest,1700
PJHBY00,Milanese,6539,0.83,IgUhebx15,Calgary,24555
GVHAH92,Zettel,31959,0.47,RjXswsc30,Cody,31755
EMZWR64,Sundgren,6064,0.95,GgOmfet34,Grenada,37775
FDDGO82,Capon,29839,0.21,SeXawhx94,Atlanta,3143
DMFEO08,Morreau,34900,0.13,NfNiket16,Acapulco,8976
BNYPT70,Wiseman,14838,0.81,HyVemwd61,Prague,10908
UBVNM27,Roura,19994,0.38,MaMetdv55,Oklahoma,21300
BADAQ56,Achilles,37750,0.44,ZsChujn24,Pasco,9510
TTNQL20,Iseli,38149,0.15,VpKqwma24,Beaumont,8641
SZWBB04,Dietz,32359,0.32,WsOashg25,Baton,14237
KPXEQ75,Gray,26646,0.42,GqVsuqc59,Athens,24591
TSJLH01,Fairtlough,34818,0.34,HsDeily66,Stockholm,22702
CJMHT47,Kubicka,32558,0.56,EmOadhm13,Lome,35795
PMPZN56,Specker,12904,0.70,XfOvlos68,Oklahoma,5636
JRCHP67,Petit,32512,0.53,AhWnzgu07,Fort,32922
UDWXW95,Kieras,26768,0.54,EgNcenw40,Florence,8895
KOFRI30,Creecy,23513,0.27,FzUzwzs68,Harrisburg,38833
UVXKC15,Hoepner,25076,0.97,DqWlxih92,Venice,5659
LUULV98,Hochgesang,17470,0.56,EiEgaby02,Toledo,27961
FSSVQ50,Radivojevic,25905,0.96,WoKzfpk50,Montreal,26528
DNQDA35,Kolinko,8528,0.92,NlDkire99,Buffalo,37686
TYETO94,Kohno,17992,0.33,ZsMyepz07,Seattle,16864
FBSJE27,Leroudier,20583,0.94,DiBmjdj81,Chihuahua,10170
RAKYC39,Hoogerwoord,6775,0.78,AbEkcuj80,Indianapolis,36747
DYDFW78,Meter,28448,0.20,KuLxxwg87,Anchorage,29423
JDNEE14,Robson,36849,0.23,TsQlizk47,Geneva,5978
JHWGE91,Jouppi,31625,0.23,PbOrilb87,Sao,277
BZRXU33,Haraguchi,31900,0.82,HrIektp62,Norfolk,12375
HKUYS58,Winzen,39168,0.32,FuShwli66,Dublin,8088
ALPQC25,Swenker,4926,0.29,NwNqmuu13,Melbourne,34750
INSNY94,Tryon,12748,0.96,GpOlcsg51,George,33017
EQHDS58,Lecon,17389,0.69,ArTlude12,Omaha,27920
OUQON56,Friedman,35040,0.59,DcEanpu70,Jackson,8774
HFSCJ75,Xerokostas,24107,0.37,UsVlpsn16,Mexico,34850
QLYBV73,Thambidurai,36557,0.49,WpHunud72,Asheville,6609
PLAFS34,Furman,21668,0.57,ClBhryq53,Torreon,28366
LHCMI50,Dutra,7124,0.51,UvEbrsi78,Gainesville,9438
FMFYQ25,Bocchetti,8443,0.64,OiDrfyx43,Durban,7803
CVESW88,Hirzer,12918,0.76,ImWdwll65,Miami,22129
QCZRE43,Kamiko,33556,0.23,AgQvkfn28,Tulsa,16743
KJZNN75,Alberga,7204,0.20,DeWeias93,Meridian,38257
MWJCB47,Crouse,806,0.29,MlLtsva19,Lome,22226
XFRJB90,Chenney,10384,0.28,AeWyaio06,Rio,1849
BCKUK94,Riesenhuber,16585,0.11,TmIuxpz56,Sun,37721
PDKTW21,Diebold,29884,0.72,QpQkysk45,Gulfport,26934
FLFXF40,Nassor,31558,0.60,JmStlzf79,Macon,22987
GOJFL49,Reinhard,5503,0.74,CwVsslb34,Columbia,337
FOSGI13,Rehak,32220,0.55,KtXukhy06,Tulsa,19371
XKNXK66,Messier,3005,0.52,ZvHfgdm00,White,7251
DEHIS30,Drettakis,2719,0.55,KaGcoap07,Lima,18743
GEKMY76,Iseli,24177,0.66,UgKudsi64,Orlando,27923
YTDAI66,Bitter,39115,0.27,BdIhwdd17,Charlotte,12065
PSHSM86,Dever,7343,0.67,GwMfwin92,Newburgh,21080
GQHTI75,Jindal,15016,0.25,HvSzvii63,Mexico,26495
GSLMO69,Kitani,22764,0.72,YkFtglv91,Casper,2100
IJXGH00,Hammerle,7270,0.76,YxFgduo80,Prague,1304
GDUJE05,Almohammad,23704,0.21,WwSgsya57,Palm,20005
GFWHO75,Vayngrib,22744,0.43,JdBfplo09,Salvador,8244
AUWJZ16,Prodiner,14811,0.96,CeIiybn48,East,15559
QJKIC92,Marinissen,37912,0.67,XwUvnru66,Mobile,28140
PWXVY49,Tokunaga,18598,0.14,QkVfyqc19,Gulfport,9930
KXDNT12,Mostrel,35348,0.40,JhOghmu79,Palm,28858
OABRR45,Desbois,11302,0.41,VjNowcg30,Sao,32189
LYLCY16,Macskassy,29533,0.21,GzEsjnf62,Asheville,28330
MHWZE28,Dor,11555,0.84,OsFzsst14,Monroe,26498
AGYSF25,Olveszky,35165,0.83,WmRrtbz14,Merida,19686
MIESA89,Landherr,3274,0.88,TvIxwga90,Salt,32506
QVIDZ31,Tolun,28999,0.87,IvOdgan04,Spokane,17192
FVVFK19,Fayolle,21297,0.75,XhBrfex06,Nice,35565
KWCHP18,Buitenhuis,7189,0.73,KzHxfpb16,Pittsburgh,3202
IBLYA15,Pink,10454,0.72,UfVmksq05,Corpus,11058
BGJQJ28,Dever,31690,0.56,MxOhpkg61,Stuttgart,523
ARUQW98,Formella,1743,0.87,AzQoivv99,Greensboro,24708
MWHNO59,Duwairi,22257,0.83,GoDimgl09,Mumbai,12540
FHHGG65,Zviran,3381,0.93,HjFxasi46,Miami,32710
UOUFF18,Lakshmikantham,39050,0.23,AjVocno70,Huntsville,5016
BQSSO64,Brockmeyer,23987,0.32,VwNcgea57,Columbus,36876
UPMOJ02,Colnari,34105,0.58,NcWqbuh67,Green,3946
TBHSV07,Hofstetter,26774,0.45,RiXtgfq24,Spokane,25914
DUOQJ96,Eisenstadt,13055,0.77,VpXwefg57,Tri,24556
WFOWM51,Marsiglia,22704,0.21,KtMlbmu77,Great,13153
ZBFUJ28,Nabeshima,10886,0.20,TrWurhc87,Akron,37586
JPNIN27,Lester,24444,0.96,UxMgquo41,Cincinnati,22946
QERJG08,Silverston,29632,0.75,RqKdley64,Honolulu,30885
YJFFL31,Hercksen,29787,0.63,NcKpnab19,London,21555
IGGWB44,Colotti,3647,0.76,XcFdswb97,Denver,1040
TSYXP97,Zilles,39825,0.92,AfLvpgy16,Brasilia,17195
ZJNQX27,Fulcher,5126,0.76,AeQalpa03,Milan,27874
VHTEN18,Quittner,19344,0.45,PcZayvx67,Gainesville,38936
WTRZM46,Kinnen,31412,0.77,DmMwqac96,Kalamazoo,23957
BZNIU66,Lindqvist,16108,0.63,GnBbvzd01,Nice,28941
ZQPVD18,Dopazo,6998,0.40,PhDiopf39,Memphis,10749
SUNHG92,Rosenkrantz,16427,0.61,VhYxuqf23,Syracuse,2906
REGYR99,Scharstein,37985,0.16,FnOxkxq43,Gothenburg,31955
ABJXB49,Kesler,16317,0.98,NkSqxcm95,Denver,15482
ZJDYW55,Bhaskar,16764,0.93,SoDdlqo91,Alexandria,25415
FLLWN51,Rosinski,3997,0.33,XmNzvms95,Richmond,16646
KINII14,Mudambi,6346,0.65,DoUdnmj89,Acapulco,4214
ASVBS29,Greer,20636,0.14,RwWmsxq96,Zurich,15258
EBANI38,Bougaut,9672,0.54,NhBhcyo67,Rochester,17657
EQKZJ74,Ferenczi,11739,0.31,PkGeagd07,Lafayette,38718
QTDBX08,Katiyar,22958,0.70,KoTshir16,Athens,14458
PXVIS31,Hibbard,38306,0.84,DnGegwm88,Lynchburg,29061
YWEYH25,Poltrock,39462,0.37,HgJpilh40,Las,22791
ZPLJN20,Handreke,11163,0.90,TnIjctp28,Barcelona,35679
JTCPV57,Uchiyama,35971,0.59,ImQdypm75,Guatemala,15205
HZWYI67,Nitsch,3135,0.81,UfGcrlf51,Leon,32580
BMDPM66,Zochling,39037,0.83,SuDjysu12,Vail,22193
TEMJR90,Togni,39241,0.13,ZtLjabf43,Sarasota,5074
INDLT07,Lukose,1858,0.69,TfCqbdw98,Gainesville,19125
WIXYE41,Sewry,16150,0.78,HdXbrkn25,Fresno,7764
HFQDW06,Kobylarz,39207,0.96,MwHhzjg40,Mulhouse,31043
SAPYO21,Underwood,2280,0.15,GnOfriq51,Puerto,4064
GOOGW87,Yasumatsu,10742,0.23,VxIetjd63,Memphis,5724
AOLWC79,Cornelio,5859,0.83,YpJvife56,Johannesburg,14547
NKWHV74,Osmon,1912,0.45,KnUonvu78,Dothan,2715
LDZAJ06,Artosi,25389,0.78,ZyVeiol53,Guaymas,10222
XDZEX02,Gray,2002,0.13,QxZeyqg05,Anchorage,28544
DZGPK10,Chimura,20261,0.70,TcAyenz46,Amsterdam,10444
VWKNX59,Bang,36707,0.49,CtPzolu20,Boise,5269
EIGRW36,Khanna,13647,0.40,GzHqdet04,Windhoek,25098
TOISD92,Elhardt,6350,0.94,VnDubti45,Ciudad,37230
OGDAZ55,Neiman,5593,0.69,ZaLasof56,Augusta,17762
SOHTF37,Sarangdhar,35885,0.18,TrQtzyu80,Lafayette,23071
HJCZG27,Dever,3592,0.42,MzEcvox17,Casper,16598
TSFLI07,Tenopir,14008,0.84,EnJezrk38,Hermosillo,17141
YOHIW94,Baudet,11546,0.74,OiHqkzd11,Caracas,13572
MWDRX54,Beauvieux,5327,0.95,RpFcpfk88,Cancun,27801
GEGMM80,Halpin,18273,0.27,BnCkerh79,Valdosta,14067
SEXPJ53,Kurino,24693,0.94,RoFwpvh61,Melbourne,35607
KLCSW97,Mastrobuoni,5769,0.41,YtZpinq14,Colorado,7032
XSDKL94,Otterbein,3698,0.98,FiGxfvf01,Moscow,32225
KGFUA43,Junet,38227,0.63,HsUkfxz58,Vienna,35346
KFNRS92,Sudarsky,11186,0.66,OwBxnnn88,Athens,24628
ZDEEV58,Lalonde,36594,0.92,FeVdzyq51,La,32762
LTBGA89,Wohlleber,21148,0.91,WpGzctd14,Montreal,29514
JHVGC82,Dendorfer,29915,0.63,MmDfnzc29,Rochester,18872
VHXNP88,Sancho,11227,0.61,XpAmtwe43,Guadalajara,4717
YYRDL06,Gunn,18265,0.65,TwAnqmx60,Tulsa,33080
